from,to,lines,size
ARM PORT,ARM/FREESCALE IMX / MXC ARM ARCHITECTURE,38463,1337262
ARM PORT,ARM/FREESCALE IMX6,782,36986
ARM PORT,ARM/FREESCALE MXS ARM ARCHITECTURE,1978,56689
ARM PORT,ARM/H4700 (HP IPAQ HX4700) MACHINE SUPPORT,1037,27084
ARM PORT,ARM/HP JORNADA 7XX MACHINE SUPPORT,388,13119
ARM PORT,ARM/IGEP MACHINE SUPPORT,673,18048
ARM PORT,ARM/INCOME PXA270 SUPPORT,223,5781
ARM PORT,ARM/INTEL IXP4XX ARM ARCHITECTURE,8698,231812
ARM PORT,ARM/INTEL RESEARCH IMOTE/STARGATE 2 MACHINE SUPPORT,1027,24197
ARM PORT,ARM/MICREL KS8695 ARCHITECTURE,2897,82437
ARM PORT,ARM/MIOA701 MACHINE SUPPORT,767,20178
ARM PORT,ARM/Marvell Armada 370 and Armada XP SOC support,1174,31397
ARM PORT,ARM/Marvell Dove/Kirkwood/MV78xx0/Orion SOC support,22037,595167
ARM PORT,ARM/NOMADIK ARCHITECTURE,917,26824
ARM PORT,ARM/NUVOTON W90X900 ARM ARCHITECTURE,3262,77937
ARM PORT,ARM/Orion SoC/Technologic Systems TS-78xx platform support,665,16459
ARM PORT,ARM/PALM TREO SUPPORT,539,13528
ARM PORT,"ARM/PALMTX,PALMT5,PALMLD,PALMTE2,PALMTC SUPPORT",2315,60834
ARM PORT,ARM/PALMZ72 SUPPORT,494,12600
ARM PORT,ARM/QUALCOMM MSM MACHINE SUPPORT,14046,411414
ARM PORT,ARM/RISCPC ARCHITECTURE,3140,74768
ARM PORT,ARM/S5P EXYNOS ARM ARCHITECTURES,31400,853073
ARM PORT,ARM/SAMSUNG ARM ARCHITECTURES,50640,1307799
ARM PORT,ARM/SAMSUNG MOBILE MACHINE SUPPORT,4222,107035
ARM PORT,ARM/SAMSUNG S5P SERIES FIMC SUPPORT,49,1123
ARM PORT,ARM/SHMOBILE ARM ARCHITECTURE,30176,905642
ARM PORT,ARM/SOCFPGA ARCHITECTURE,312,8379
ARM PORT,ARM/U300 MACHINE SUPPORT,4400,142085
ARM PORT,ARM/Ux500 ARM ARCHITECTURE,6708,207121
ARM PORT,ARM/VFP SUPPORT,4049,101019
ARM PORT,ARM/VOIPAC PXA270 SUPPORT,767,18942
ARM PORT,ARM/VT8500 ARM ARCHITECTURE,775,20725
ARM PORT,ARM/ZIPIT Z2 SUPPORT,768,17707
ARM PORT,BROADCOM BCM2835 ARM ARCHICTURE,421,10715
ARM PORT,CRYPTO API,1911,49790
ARM PORT,"HIBERNATION (aka Software Suspend, aka swsusp)",7,158
ARM PORT,"INTEL IXP4XX QMGR, NPE, ETHERNET and HSS SUPPORT",1357,37923
ARM PORT,MMP SUPPORT,7098,197121
ARM PORT,OMAP CLOCK FRAMEWORK SUPPORT,17803,528891
ARM PORT,OMAP HARDWARE SPINLOCK SUPPORT,60,1703
ARM PORT,OMAP HWMOD DATA FOR OMAP4-BASED DEVICES,6415,164511
ARM PORT,OMAP HWMOD SUPPORT,4150,120534
